Model,Index,PlainTextCitation,GeneratedBibTeX,TimeToGeneration,ActualBibTeX,TotalFields,MatchingFields,PercentageMatch,NonMatchingFields,FieldComparisons
llama2:7bllama3:8b,0,"Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ",,0.005745887756347656," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ",0,0,0.0,,
llama2:7bllama3:8b,0,"Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ",,0.005745887756347656," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ",0,0,0.0,,
llama2:7bllama3:8b,1,"Wang, M., 2019. Art, Urban Renewal, and Grassroots Community Building. Socially Engaged Art in Contemporary China 85–115. https://doi.org/10.4324/9780429457074-6 ",,0.0016541481018066406," @article{Wang_2019, title={Art, Urban Renewal, and Grassroots Community Building}, url={http://dx.doi.org/10.4324/9780429457074-6}, DOI={10.4324/9780429457074-6}, journal={Socially Engaged Art in Contemporary China}, publisher={Routledge}, author={Wang, Meiqin}, year={2019}, month=mar, pages={85–115} } ",0,0,0.0,,
tinyllama,0,"Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ","@article{febler1947direct_introduction_of_chemical_substances_into_herbaeous_plants,     title = ""{Direct Introduction of Chemical Substances Into Herbaceous Plants}"",     author = ""Febler, Irma M."",     year = ""1947"",     month = may,     journal = ""Science"",     volume = ""106"",     number = ""2750"",     pages = ""251--251"",     issn = ""0036-8075"",     doi = ""10.1126/scienc.106.2750.251"",     pmid = ""2492277"",     url = ""https://doi.org/10.1126/scienc.106.2750.251"" }",2.457365036010742," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ",14,5,35.714285714285715,"url, pages, title, publisher, doi, author, issn, pmid, month","{""url"": {""GeneratedValue"": ""https://doi.org/10.1126/scienc.106.2750.251"", ""ActualValue"": ""http://dx.doi.org/10.1126/science.106.2750.251"", ""Match"": false}, ""year"": {""GeneratedValue"": ""1947"", ""ActualValue"": ""1947"", ""Match"": true}, ""pages"": {""GeneratedValue"": ""251--251"", ""ActualValue"": ""251\u2013251"", ""Match"": false}, ""title"": {""GeneratedValue"": ""{Direct Introduction of Chemical Substances Into Herbaceous Plants}"", ""ActualValue"": ""Direct Introduction of Chemical Substances Into Herbaceous Plants"", ""Match"": false}, ""publisher"": {""GeneratedValue"": """", ""ActualValue"": ""American Association for the Advancement of Science (AAAS)"", ""Match"": false}, ""doi"": {""GeneratedValue"": ""10.1126/scienc.106.2750.251"", ""ActualValue"": ""10.1126/science.106.2750.251"", ""Match"": false}, ""journal"": {""GeneratedValue"": ""Science"", ""ActualValue"": ""Science"", ""Match"": true}, ""volume"": {""GeneratedValue"": ""106"", ""ActualValue"": ""106"", ""Match"": true}, ""number"": {""GeneratedValue"": ""2750"", ""ActualValue"": ""2750"", ""Match"": true}, ""entrytype"": {""GeneratedValue"": ""article"", ""ActualValue"": ""article"", ""Match"": true}, ""author"": {""GeneratedValue"": ""Febler, Irma M."", ""ActualValue"": ""Felber, Irma M."", ""Match"": false}, ""issn"": {""GeneratedValue"": ""0036-8075"", ""ActualValue"": ""1095-9203"", ""Match"": false}, ""pmid"": {""GeneratedValue"": ""2492277"", ""ActualValue"": """", ""Match"": false}, ""month"": {""GeneratedValue"": ""May"", ""ActualValue"": ""September"", ""Match"": false}}"
tinyllama,0,"Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ","@article{febler1947direct_introduction_of_chemical_substances_into_herbaeous_plants,     title = ""{Direct Introduction of Chemical Substances Into Herbaceous Plants}"",     author = ""Febler, Irma M."",     year = ""1947"",     month = may,     journal = ""Science"",     volume = ""106"",     number = ""2750"",     pages = ""251--251"",     issn = ""0036-8075"",     doi = ""10.1126/scienc.106.2750.251"",     pmid = ""2492277"",     url = ""https://doi.org/10.1126/scienc.106.2750.251"" }",2.457365036010742," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ",14,5,35.714285714285715,"url, pages, title, publisher, doi, author, issn, pmid, month","{""url"": {""GeneratedValue"": ""https://doi.org/10.1126/scienc.106.2750.251"", ""ActualValue"": ""http://dx.doi.org/10.1126/science.106.2750.251"", ""Match"": false}, ""year"": {""GeneratedValue"": ""1947"", ""ActualValue"": ""1947"", ""Match"": true}, ""pages"": {""GeneratedValue"": ""251--251"", ""ActualValue"": ""251\u2013251"", ""Match"": false}, ""title"": {""GeneratedValue"": ""{Direct Introduction of Chemical Substances Into Herbaceous Plants}"", ""ActualValue"": ""Direct Introduction of Chemical Substances Into Herbaceous Plants"", ""Match"": false}, ""publisher"": {""GeneratedValue"": """", ""ActualValue"": ""American Association for the Advancement of Science (AAAS)"", ""Match"": false}, ""doi"": {""GeneratedValue"": ""10.1126/scienc.106.2750.251"", ""ActualValue"": ""10.1126/science.106.2750.251"", ""Match"": false}, ""journal"": {""GeneratedValue"": ""Science"", ""ActualValue"": ""Science"", ""Match"": true}, ""volume"": {""GeneratedValue"": ""106"", ""ActualValue"": ""106"", ""Match"": true}, ""number"": {""GeneratedValue"": ""2750"", ""ActualValue"": ""2750"", ""Match"": true}, ""entrytype"": {""GeneratedValue"": ""article"", ""ActualValue"": ""article"", ""Match"": true}, ""author"": {""GeneratedValue"": ""Febler, Irma M."", ""ActualValue"": ""Felber, Irma M."", ""Match"": false}, ""issn"": {""GeneratedValue"": ""0036-8075"", ""ActualValue"": ""1095-9203"", ""Match"": false}, ""pmid"": {""GeneratedValue"": ""2492277"", ""ActualValue"": """", ""Match"": false}, ""month"": {""GeneratedValue"": ""May"", ""ActualValue"": ""September"", ""Match"": false}}"
tinyllama,1,"Wang, M., 2019. Art, Urban Renewal, and Grassroots Community Building. Socially Engaged Art in Contemporary China 85–115. https://doi.org/10.4324/9780429457074-6 ","@article{Wang2019a, 	title = {Art, Urban Renewal, and Grassroots Community Building}, 	issn = {0894-7536}, 	journal = {Socially Engaged Art in Contemporary China}, 	author = {Wang, Minhua}, 	year = {2019}, 	pages = {85--115} }",1.1833362579345703," @article{Wang_2019, title={Art, Urban Renewal, and Grassroots Community Building}, url={http://dx.doi.org/10.4324/9780429457074-6}, DOI={10.4324/9780429457074-6}, journal={Socially Engaged Art in Contemporary China}, publisher={Routledge}, author={Wang, Meiqin}, year={2019}, month=mar, pages={85–115} } ",11,4,36.36363636363637,"doi, url, pages, author, issn, publisher, month","{""doi"": {""GeneratedValue"": """", ""ActualValue"": ""10.4324/9780429457074-6"", ""Match"": false}, ""url"": {""GeneratedValue"": """", ""ActualValue"": ""http://dx.doi.org/10.4324/9780429457074-6"", ""Match"": false}, ""journal"": {""GeneratedValue"": ""Socially Engaged Art in Contemporary China"", ""ActualValue"": ""Socially Engaged Art in Contemporary China"", ""Match"": true}, ""year"": {""GeneratedValue"": ""2019"", ""ActualValue"": ""2019"", ""Match"": true}, ""pages"": {""GeneratedValue"": ""85--115"", ""ActualValue"": ""85\u2013115"", ""Match"": false}, ""title"": {""GeneratedValue"": ""Art, Urban Renewal, and Grassroots Community Building"", ""ActualValue"": ""Art, Urban Renewal, and Grassroots Community Building"", ""Match"": true}, ""entrytype"": {""GeneratedValue"": ""article"", ""ActualValue"": ""article"", ""Match"": true}, ""author"": {""GeneratedValue"": ""Wang, Minhua"", ""ActualValue"": ""Wang, Meiqin"", ""Match"": false}, ""issn"": {""GeneratedValue"": ""0894-7536"", ""ActualValue"": """", ""Match"": false}, ""publisher"": {""GeneratedValue"": """", ""ActualValue"": ""Routledge"", ""Match"": false}, ""month"": {""GeneratedValue"": """", ""ActualValue"": ""March"", ""Match"": false}}"
mistral,0,"Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ","@article{Felber1947,   title={Direct Introduction of Chemical Substances Into Herbaceous Plants},   author={Felber, Irma M.},   journal={Science},   volume={106},   number={2750},   pages={251},   year={1947},   doi={10.1126/science.106.2750.251} }",2.6513562202453613," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ",13,8,61.53846153846154,"url, pages, publisher, issn, month","{""url"": {""GeneratedValue"": """", ""ActualValue"": ""http://dx.doi.org/10.1126/science.106.2750.251"", ""Match"": false}, ""year"": {""GeneratedValue"": ""1947"", ""ActualValue"": ""1947"", ""Match"": true}, ""pages"": {""GeneratedValue"": ""251"", ""ActualValue"": ""251\u2013251"", ""Match"": false}, ""title"": {""GeneratedValue"": ""Direct Introduction of Chemical Substances Into Herbaceous Plants"", ""ActualValue"": ""Direct Introduction of Chemical Substances Into Herbaceous Plants"", ""Match"": true}, ""publisher"": {""GeneratedValue"": """", ""ActualValue"": ""American Association for the Advancement of Science (AAAS)"", ""Match"": false}, ""doi"": {""GeneratedValue"": ""10.1126/science.106.2750.251"", ""ActualValue"": ""10.1126/science.106.2750.251"", ""Match"": true}, ""journal"": {""GeneratedValue"": ""Science"", ""ActualValue"": ""Science"", ""Match"": true}, ""volume"": {""GeneratedValue"": ""106"", ""ActualValue"": ""106"", ""Match"": true}, ""number"": {""GeneratedValue"": ""2750"", ""ActualValue"": ""2750"", ""Match"": true}, ""entrytype"": {""GeneratedValue"": ""article"", ""ActualValue"": ""article"", ""Match"": true}, ""author"": {""GeneratedValue"": ""Felber, Irma M."", ""ActualValue"": ""Felber, Irma M."", ""Match"": true}, ""issn"": {""GeneratedValue"": """", ""ActualValue"": ""1095-9203"", ""Match"": false}, ""month"": {""GeneratedValue"": """", ""ActualValue"": ""September"", ""Match"": false}}"
mistral,0,"Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ","@article{Felber1947,   title={Direct Introduction of Chemical Substances Into Herbaceous Plants},   author={Felber, Irma M.},   journal={Science},   volume={106},   number={2750},   pages={251},   year={1947},   doi={10.1126/science.106.2750.251} }",2.6513562202453613," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ",13,8,61.53846153846154,"url, pages, publisher, issn, month","{""url"": {""GeneratedValue"": """", ""ActualValue"": ""http://dx.doi.org/10.1126/science.106.2750.251"", ""Match"": false}, ""year"": {""GeneratedValue"": ""1947"", ""ActualValue"": ""1947"", ""Match"": true}, ""pages"": {""GeneratedValue"": ""251"", ""ActualValue"": ""251\u2013251"", ""Match"": false}, ""title"": {""GeneratedValue"": ""Direct Introduction of Chemical Substances Into Herbaceous Plants"", ""ActualValue"": ""Direct Introduction of Chemical Substances Into Herbaceous Plants"", ""Match"": true}, ""publisher"": {""GeneratedValue"": """", ""ActualValue"": ""American Association for the Advancement of Science (AAAS)"", ""Match"": false}, ""doi"": {""GeneratedValue"": ""10.1126/science.106.2750.251"", ""ActualValue"": ""10.1126/science.106.2750.251"", ""Match"": true}, ""journal"": {""GeneratedValue"": ""Science"", ""ActualValue"": ""Science"", ""Match"": true}, ""volume"": {""GeneratedValue"": ""106"", ""ActualValue"": ""106"", ""Match"": true}, ""number"": {""GeneratedValue"": ""2750"", ""ActualValue"": ""2750"", ""Match"": true}, ""entrytype"": {""GeneratedValue"": ""article"", ""ActualValue"": ""article"", ""Match"": true}, ""author"": {""GeneratedValue"": ""Felber, Irma M."", ""ActualValue"": ""Felber, Irma M."", ""Match"": true}, ""issn"": {""GeneratedValue"": """", ""ActualValue"": ""1095-9203"", ""Match"": false}, ""month"": {""GeneratedValue"": """", ""ActualValue"": ""September"", ""Match"": false}}"
mistral,1,"Wang, M., 2019. Art, Urban Renewal, and Grassroots Community Building. Socially Engaged Art in Contemporary China 85–115. https://doi.org/10.4324/9780429457074-6 ","@article{Wang2019,   title={Art, Urban Renewal, and Grassroots Community Building},   author={Wang, M.},   journal={Socially Engaged Art in Contemporary China},   pages={85--115},   year={2019},   url={https://doi.org/10.4324/9780429457074-6},   doi={10.4324/9780429457074-6} }",3.034695863723755," @article{Wang_2019, title={Art, Urban Renewal, and Grassroots Community Building}, url={http://dx.doi.org/10.4324/9780429457074-6}, DOI={10.4324/9780429457074-6}, journal={Socially Engaged Art in Contemporary China}, publisher={Routledge}, author={Wang, Meiqin}, year={2019}, month=mar, pages={85–115} } ",10,5,50.0,"url, pages, author, publisher, month","{""doi"": {""GeneratedValue"": ""10.4324/9780429457074-6"", ""ActualValue"": ""10.4324/9780429457074-6"", ""Match"": true}, ""url"": {""GeneratedValue"": ""https://doi.org/10.4324/9780429457074-6"", ""ActualValue"": ""http://dx.doi.org/10.4324/9780429457074-6"", ""Match"": false}, ""journal"": {""GeneratedValue"": ""Socially Engaged Art in Contemporary China"", ""ActualValue"": ""Socially Engaged Art in Contemporary China"", ""Match"": true}, ""year"": {""GeneratedValue"": ""2019"", ""ActualValue"": ""2019"", ""Match"": true}, ""pages"": {""GeneratedValue"": ""85--115"", ""ActualValue"": ""85\u2013115"", ""Match"": false}, ""title"": {""GeneratedValue"": ""Art, Urban Renewal, and Grassroots Community Building"", ""ActualValue"": ""Art, Urban Renewal, and Grassroots Community Building"", ""Match"": true}, ""entrytype"": {""GeneratedValue"": ""article"", ""ActualValue"": ""article"", ""Match"": true}, ""author"": {""GeneratedValue"": ""Wang, M."", ""ActualValue"": ""Wang, Meiqin"", ""Match"": false}, ""publisher"": {""GeneratedValue"": """", ""ActualValue"": ""Routledge"", ""Match"": false}, ""month"": {""GeneratedValue"": """", ""ActualValue"": ""March"", ""Match"": false}}"
codegemma:2b,0,"Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ","@article{Felber,1947,   author = {Irma M. Felber},   journal = {Science},   title = {Direct Introduction of Chemical Substances Into Herbaceous Plants},   year = {1947},   volume = {106},   doi = {doi:10.1126/science.106.2750.251} }",17.24945092201233," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ",0,0,0.0,,
codegemma:2b,0,"Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ","@article{Felber,1947,   author = {Irma M. Felber},   journal = {Science},   title = {Direct Introduction of Chemical Substances Into Herbaceous Plants},   year = {1947},   volume = {106},   doi = {doi:10.1126/science.106.2750.251} }",17.24945092201233," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ",0,0,0.0,,
codegemma:2b,1,"Wang, M., 2019. Art, Urban Renewal, and Grassroots Community Building. Socially Engaged Art in Contemporary China 85–115. https://doi.org/10.4324/9780429457074-6 ","@article{Wang2022,         author = {Wang, Muchen},         year = {2022},         journal = {Socially Engaged Art in Contemporary China},         volume = {85–115},         pages = {553–558},         title = {Art, Urban Renewal, and Grassroots Community Building},         DOI = {10.4324/9780429457074-6},     }",9.900406837463379," @article{Wang_2019, title={Art, Urban Renewal, and Grassroots Community Building}, url={http://dx.doi.org/10.4324/9780429457074-6}, DOI={10.4324/9780429457074-6}, journal={Socially Engaged Art in Contemporary China}, publisher={Routledge}, author={Wang, Meiqin}, year={2019}, month=mar, pages={85–115} } ",11,4,36.36363636363637,"url, year, pages, volume, author, publisher, month","{""doi"": {""GeneratedValue"": ""10.4324/9780429457074-6"", ""ActualValue"": ""10.4324/9780429457074-6"", ""Match"": true}, ""url"": {""GeneratedValue"": """", ""ActualValue"": ""http://dx.doi.org/10.4324/9780429457074-6"", ""Match"": false}, ""journal"": {""GeneratedValue"": ""Socially Engaged Art in Contemporary China"", ""ActualValue"": ""Socially Engaged Art in Contemporary China"", ""Match"": true}, ""year"": {""GeneratedValue"": ""2022"", ""ActualValue"": ""2019"", ""Match"": false}, ""pages"": {""GeneratedValue"": ""553\u2013558"", ""ActualValue"": ""85\u2013115"", ""Match"": false}, ""title"": {""GeneratedValue"": ""Art, Urban Renewal, and Grassroots Community Building"", ""ActualValue"": ""Art, Urban Renewal, and Grassroots Community Building"", ""Match"": true}, ""volume"": {""GeneratedValue"": ""85\u2013115"", ""ActualValue"": """", ""Match"": false}, ""entrytype"": {""GeneratedValue"": ""article"", ""ActualValue"": ""article"", ""Match"": true}, ""author"": {""GeneratedValue"": ""Wang, Muchen"", ""ActualValue"": ""Wang, Meiqin"", ""Match"": false}, ""publisher"": {""GeneratedValue"": """", ""ActualValue"": ""Routledge"", ""Match"": false}, ""month"": {""GeneratedValue"": """", ""ActualValue"": ""March"", ""Match"": false}}"
codegemma:7b,0,"Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ","@article{felber1947,   author = {Felber, Irma M.},   title = {Direct Introduction of Chemical Substances Into Herbaceous Plants},   journal = {Science},   volume = {106},   number = {2750},   pages = {251--251},   year = {1947},   doi = {10.1126/science.106.2750.251}, }",10.382007122039795," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ",13,8,61.53846153846154,"url, pages, publisher, issn, month","{""url"": {""GeneratedValue"": """", ""ActualValue"": ""http://dx.doi.org/10.1126/science.106.2750.251"", ""Match"": false}, ""year"": {""GeneratedValue"": ""1947"", ""ActualValue"": ""1947"", ""Match"": true}, ""pages"": {""GeneratedValue"": ""251--251"", ""ActualValue"": ""251\u2013251"", ""Match"": false}, ""title"": {""GeneratedValue"": ""Direct Introduction of Chemical Substances Into Herbaceous Plants"", ""ActualValue"": ""Direct Introduction of Chemical Substances Into Herbaceous Plants"", ""Match"": true}, ""publisher"": {""GeneratedValue"": """", ""ActualValue"": ""American Association for the Advancement of Science (AAAS)"", ""Match"": false}, ""doi"": {""GeneratedValue"": ""10.1126/science.106.2750.251"", ""ActualValue"": ""10.1126/science.106.2750.251"", ""Match"": true}, ""journal"": {""GeneratedValue"": ""Science"", ""ActualValue"": ""Science"", ""Match"": true}, ""volume"": {""GeneratedValue"": ""106"", ""ActualValue"": ""106"", ""Match"": true}, ""number"": {""GeneratedValue"": ""2750"", ""ActualValue"": ""2750"", ""Match"": true}, ""entrytype"": {""GeneratedValue"": ""article"", ""ActualValue"": ""article"", ""Match"": true}, ""author"": {""GeneratedValue"": ""Felber, Irma M."", ""ActualValue"": ""Felber, Irma M."", ""Match"": true}, ""issn"": {""GeneratedValue"": """", ""ActualValue"": ""1095-9203"", ""Match"": false}, ""month"": {""GeneratedValue"": """", ""ActualValue"": ""September"", ""Match"": false}}"
codegemma:7b,0,"Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ","@article{felber1947,   author = {Felber, Irma M.},   title = {Direct Introduction of Chemical Substances Into Herbaceous Plants},   journal = {Science},   volume = {106},   number = {2750},   pages = {251--251},   year = {1947},   doi = {10.1126/science.106.2750.251}, }",10.382007122039795," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ",13,8,61.53846153846154,"url, pages, publisher, issn, month","{""url"": {""GeneratedValue"": """", ""ActualValue"": ""http://dx.doi.org/10.1126/science.106.2750.251"", ""Match"": false}, ""year"": {""GeneratedValue"": ""1947"", ""ActualValue"": ""1947"", ""Match"": true}, ""pages"": {""GeneratedValue"": ""251--251"", ""ActualValue"": ""251\u2013251"", ""Match"": false}, ""title"": {""GeneratedValue"": ""Direct Introduction of Chemical Substances Into Herbaceous Plants"", ""ActualValue"": ""Direct Introduction of Chemical Substances Into Herbaceous Plants"", ""Match"": true}, ""publisher"": {""GeneratedValue"": """", ""ActualValue"": ""American Association for the Advancement of Science (AAAS)"", ""Match"": false}, ""doi"": {""GeneratedValue"": ""10.1126/science.106.2750.251"", ""ActualValue"": ""10.1126/science.106.2750.251"", ""Match"": true}, ""journal"": {""GeneratedValue"": ""Science"", ""ActualValue"": ""Science"", ""Match"": true}, ""volume"": {""GeneratedValue"": ""106"", ""ActualValue"": ""106"", ""Match"": true}, ""number"": {""GeneratedValue"": ""2750"", ""ActualValue"": ""2750"", ""Match"": true}, ""entrytype"": {""GeneratedValue"": ""article"", ""ActualValue"": ""article"", ""Match"": true}, ""author"": {""GeneratedValue"": ""Felber, Irma M."", ""ActualValue"": ""Felber, Irma M."", ""Match"": true}, ""issn"": {""GeneratedValue"": """", ""ActualValue"": ""1095-9203"", ""Match"": false}, ""month"": {""GeneratedValue"": """", ""ActualValue"": ""September"", ""Match"": false}}"
codegemma:7b,1,"Wang, M., 2019. Art, Urban Renewal, and Grassroots Community Building. Socially Engaged Art in Contemporary China 85–115. https://doi.org/10.4324/9780429457074-6 ","@article{wang2019,   author = {Wang, M.},   title = {Art, Urban Renewal, and Grassroots Community Building},   journal = {Socially Engaged Art in Contemporary China},   volume = {85-115},   doi = {10.4324/9780429457074-6},   year = {2019}, }",2.62235689163208," @article{Wang_2019, title={Art, Urban Renewal, and Grassroots Community Building}, url={http://dx.doi.org/10.4324/9780429457074-6}, DOI={10.4324/9780429457074-6}, journal={Socially Engaged Art in Contemporary China}, publisher={Routledge}, author={Wang, Meiqin}, year={2019}, month=mar, pages={85–115} } ",11,5,45.45454545454545,"url, pages, volume, author, publisher, month","{""doi"": {""GeneratedValue"": ""10.4324/9780429457074-6"", ""ActualValue"": ""10.4324/9780429457074-6"", ""Match"": true}, ""url"": {""GeneratedValue"": """", ""ActualValue"": ""http://dx.doi.org/10.4324/9780429457074-6"", ""Match"": false}, ""journal"": {""GeneratedValue"": ""Socially Engaged Art in Contemporary China"", ""ActualValue"": ""Socially Engaged Art in Contemporary China"", ""Match"": true}, ""year"": {""GeneratedValue"": ""2019"", ""ActualValue"": ""2019"", ""Match"": true}, ""pages"": {""GeneratedValue"": """", ""ActualValue"": ""85\u2013115"", ""Match"": false}, ""title"": {""GeneratedValue"": ""Art, Urban Renewal, and Grassroots Community Building"", ""ActualValue"": ""Art, Urban Renewal, and Grassroots Community Building"", ""Match"": true}, ""volume"": {""GeneratedValue"": ""85-115"", ""ActualValue"": """", ""Match"": false}, ""entrytype"": {""GeneratedValue"": ""article"", ""ActualValue"": ""article"", ""Match"": true}, ""author"": {""GeneratedValue"": ""Wang, M."", ""ActualValue"": ""Wang, Meiqin"", ""Match"": false}, ""publisher"": {""GeneratedValue"": """", ""ActualValue"": ""Routledge"", ""Match"": false}, ""month"": {""GeneratedValue"": """", ""ActualValue"": ""March"", ""Match"": false}}"
starcoder2:3b,0,"Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ",,2.725266218185425," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ",0,0,0.0,,
starcoder2:3b,0,"Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ",,2.725266218185425," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ",0,0,0.0,,
starcoder2:3b,1,"Wang, M., 2019. Art, Urban Renewal, and Grassroots Community Building. Socially Engaged Art in Contemporary China 85–115. https://doi.org/10.4324/9780429457074-6 ",,0.14681506156921387," @article{Wang_2019, title={Art, Urban Renewal, and Grassroots Community Building}, url={http://dx.doi.org/10.4324/9780429457074-6}, DOI={10.4324/9780429457074-6}, journal={Socially Engaged Art in Contemporary China}, publisher={Routledge}, author={Wang, Meiqin}, year={2019}, month=mar, pages={85–115} } ",0,0,0.0,,
